Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Verlander, Justin",434378,CH,-1.51,54.56,6.93,3.90,-126.37,-7.29,-14.37,25.49,-23.38,1686,227
"Verlander, Justin",434378,SL,-1.30,54.46,7.05,4.67,-128.69,-9.51,2.15,28.96,-26.27,2253,162
"Verlander, Justin",434378,SL,-1.44,54.87,7.16,2.42,-124.94,-2.33,3.27,26.41,-31.86,2373,138
"Verlander, Justin",434378,FF,-1.18,54.67,7.19,4.85,-137.60,-5.42,-11.51,33.33,-12.22,2277,204
"Verlander, Justin",434378,FF,-1.16,54.48,7.23,5.02,-137.23,-8.05,-9.60,32.55,-9.32,2204,205
"Verlander, Justin",434378,SL,-1.44,54.65,7.04,5.26,-126.97,-7.71,1.96,27.55,-27.22,2207,171
"Verlander, Justin",434378,FF,-1.09,54.52,7.12,3.96,-138.60,-8.78,-9.38,34.68,-8.56,2363,206
"Verlander, Justin",434378,FF,-1.20,54.55,7.07,4.96,-139.33,-8.38,-8.03,35.44,-6.23,2558,205
"Verlander, Justin",434378,FF,-1.15,54.55,7.20,4.41,-135.96,-8.52,-7.41,32.94,-7.99,2444,204
"Verlander, Justin",434378,FF,-1.34,54.64,7.14,4.70,-137.02,-6.63,-9.09,34.41,-8.63,2470,210
"Verlander, Justin",434378,FF,-1.26,54.70,7.15,2.63,-136.85,-7.75,-7.37,34.56,-7.36,2502,207
"Verlander, Justin",434378,FF,-1.42,54.66,7.18,3.14,-135.30,-9.10,-9.31,33.22,-8.09,2459,206
"Verlander, Justin",434378,CU,-1.62,54.83,7.15,1.26,-111.72,1.07,4.05,22.71,-41.62,2674,45
"Verlander, Justin",434378,FF,-1.01,54.44,7.12,5.48,-139.94,-9.34,-12.16,34.23,-10.00,2362,205
"Verlander, Justin",434378,FF,-1.16,54.48,7.14,7.77,-139.01,-7.41,-8.70,32.77,-10.60,2334,209
"Verlander, Justin",434378,FF,-1.14,54.61,7.12,4.29,-138.19,-9.08,-11.81,32.67,-10.21,2332,209
"Verlander, Justin",434378,FF,-1.24,54.62,7.08,4.02,-138.55,-8.81,-10.95,32.54,-10.59,2317,210
"Verlander, Justin",434378,FF,-1.30,54.64,7.12,5.37,-137.16,-12.48,-11.17,31.77,-9.21,2300,212
"Verlander, Justin",434378,FF,-1.19,54.56,7.13,5.28,-138.92,-12.23,-10.85,34.37,-8.40,2437,206
"Verlander, Justin",434378,CU,-1.55,54.58,7.05,0.49,-114.28,-2.91,4.24,24.35,-41.72,2639,34
"Verlander, Justin",434378,FF,-1.20,54.66,7.24,4.73,-137.83,-7.46,-9.72,32.44,-9.87,2390,204
"Verlander, Justin",434378,SL,-1.26,54.49,7.02,4.16,-128.28,-7.59,4.88,26.25,-27.73,2361,163
"Verlander, Justin",434378,FF,-1.37,54.52,7.17,3.40,-137.93,-9.63,-11.04,32.93,-7.77,2362,213
"Verlander, Justin",434378,FF,-1.26,54.65,7.14,2.71,-138.80,-7.44,-12.11,34.48,-10.13,2430,209
"Verlander, Justin",434378,FF,-1.18,54.74,7.15,2.86,-138.80,-7.04,-8.34,34.36,-7.01,2419,204
"Verlander, Justin",434378,FF,-1.25,54.71,7.18,4.02,-138.49,-5.12,-10.67,34.54,-9.42,2364,208
"Verlander, Justin",434378,FF,-1.33,54.79,7.22,3.46,-138.01,-8.80,-10.64,33.82,-8.52,2317,207
"Verlander, Justin",434378,FF,-1.50,54.42,7.01,3.19,-141.20,-7.40,-10.71,34.07,-6.68,2475,208
"Verlander, Justin",434378,FF,-1.45,54.47,7.04,6.29,-140.36,-9.25,-11.22,33.74,-6.47,2460,210
"Verlander, Justin",434378,SL,-1.73,54.30,6.97,3.49,-128.58,-7.84,1.99,25.55,-27.06,2398,166
"Verlander, Justin",434378,SL,-1.67,54.44,7.02,4.77,-130.59,-7.21,5.14,29.13,-24.55,2462,172
"Verlander, Justin",434378,CU,-1.69,54.40,6.93,4.14,-119.74,-5.30,2.77,23.91,-37.30,2738,41
"Verlander, Justin",434378,FF,-1.40,54.42,7.09,4.82,-139.62,-8.85,-11.16,32.81,-9.18,2441,208
"Verlander, Justin",434378,FF,-1.42,54.33,7.07,5.29,-139.67,-9.34,-12.34,33.40,-7.77,2491,207
"Verlander, Justin",434378,FF,-1.43,54.67,7.13,5.19,-139.33,-7.04,-11.76,33.30,-8.51,2473,214
"Verlander, Justin",434378,FF,-1.51,54.46,6.94,4.60,-139.41,-9.56,-9.79,31.21,-8.08,2463,211
"Verlander, Justin",434378,FF,-1.48,54.47,7.12,4.89,-138.45,-10.08,-10.29,32.68,-8.66,2472,207
"Verlander, Justin",434378,FF,-1.62,54.57,7.07,9.39,-136.66,-10.05,-13.60,31.13,-9.84,2431,208
"Verlander, Justin",434378,CU,-1.81,54.56,6.94,2.53,-113.83,-0.80,5.57,22.81,-42.38,2716,42
"Verlander, Justin",434378,SL,-1.35,54.59,6.93,5.80,-126.55,-7.17,3.84,25.41,-29.23,2410,158
"Verlander, Justin",434378,CU,-1.45,54.52,6.95,-0.73,-115.00,0.62,7.27,23.73,-43.67,2635,43
"Verlander, Justin",434378,FF,-1.21,54.51,7.05,5.04,-138.18,-7.65,-6.40,33.00,-8.62,2316,206
"Verlander, Justin",434378,FF,-1.48,54.59,7.06,3.67,-139.24,-7.90,-11.59,33.70,-9.67,2390,209
"Verlander, Justin",434378,FF,-1.36,54.69,7.13,6.70,-136.62,-8.60,-12.19,33.43,-7.25,2507,212
"Verlander, Justin",434378,CU,-1.74,54.56,6.99,3.45,-111.98,-2.22,5.76,22.73,-42.11,2642,39
"Verlander, Justin",434378,FF,-1.51,54.59,6.96,7.25,-139.54,-11.80,-11.06,31.66,-7.20,2453,210
"Verlander, Justin",434378,FF,-1.50,54.57,7.01,6.34,-138.06,-8.31,-9.18,33.18,-11.55,2276,207
"Verlander, Justin",434378,SL,-1.54,54.56,7.05,4.46,-124.83,-3.29,2.86,24.01,-29.48,2250,136
"Verlander, Justin",434378,CU,-1.73,54.80,6.94,-0.79,-112.95,-1.80,6.55,22.08,-41.93,2582,42
"Verlander, Justin",434378,CU,-1.81,54.64,6.99,-0.59,-113.68,3.15,4.24,21.81,-42.75,2485,40
"Verlander, Justin",434378,CU,-1.73,54.72,7.02,2.20,-114.32,-0.99,4.29,23.40,-42.00,2720,42
"Verlander, Justin",434378,FF,-1.39,54.61,7.07,4.79,-138.47,-6.24,-11.79,33.02,-9.99,2410,211
"Verlander, Justin",434378,SL,-1.58,54.69,7.13,1.81,-125.45,-6.89,6.45,25.86,-26.19,2427,177
"Verlander, Justin",434378,FF,-1.37,54.54,7.11,4.00,-135.83,-10.04,-9.04,31.82,-7.66,2452,205
"Verlander, Justin",434378,FF,-1.35,54.67,7.14,4.83,-137.18,-6.29,-11.22,32.00,-9.13,2458,212
"Verlander, Justin",434378,FF,-1.45,54.56,7.02,3.52,-137.30,-9.90,-9.32,33.09,-9.34,2385,210
"Verlander, Justin",434378,CU,-1.50,54.18,6.82,1.69,-117.32,-2.29,3.68,23.35,-41.40,2548,34
"Verlander, Justin",434378,SL,-1.52,54.57,6.97,4.80,-132.58,-7.27,1.25,26.45,-19.86,2266,187
"Verlander, Justin",434378,CH,-1.64,54.53,6.89,4.63,-124.40,-6.72,-14.07,26.68,-21.99,2045,232
"Verlander, Justin",434378,FF,-1.46,54.45,7.04,6.80,-138.52,-8.53,-13.40,32.63,-7.04,2449,210
"Verlander, Justin",434378,CU,-1.54,54.46,6.95,3.10,-117.08,-3.00,5.70,23.13,-42.01,2776,40
"Verlander, Justin",434378,FF,-1.39,54.43,7.03,6.58,-137.40,-9.55,-13.63,31.11,-8.56,2476,211
"Verlander, Justin",434378,FF,-1.37,54.46,7.14,4.98,-136.30,-8.13,-12.54,30.80,-8.25,2486,207
"Verlander, Justin",434378,FF,-1.44,54.39,7.07,6.09,-136.16,-9.00,-12.69,30.28,-7.54,2476,209
"Verlander, Justin",434378,SL,-1.68,54.55,6.99,4.53,-130.21,-6.89,2.40,27.32,-25.54,2467,184
"Verlander, Justin",434378,FF,-1.45,54.47,7.07,7.13,-139.87,-8.09,-9.83,37.44,-6.68,2504,201
"Verlander, Justin",434378,FF,-1.49,54.70,7.07,8.98,-138.96,-8.66,-11.30,35.12,-9.94,2470,205
"Verlander, Justin",434378,FF,-1.62,54.47,7.00,10.38,-139.73,-12.64,-12.57,34.96,-5.47,2428,207
"Verlander, Justin",434378,SL,-1.55,54.49,6.98,3.68,-127.90,-7.17,4.19,26.15,-27.24,2383,160
"Verlander, Justin",434378,FF,-1.31,54.29,6.95,7.87,-138.48,-14.37,-13.10,31.37,-6.13,2451,211
"Verlander, Justin",434378,FF,-1.33,54.41,7.01,6.99,-139.97,-12.42,-13.36,32.98,-5.34,2548,208
"Verlander, Justin",434378,SL,-1.56,54.60,6.97,5.98,-127.29,-8.87,3.54,25.76,-27.58,2381,177
"Verlander, Justin",434378,SL,-1.50,54.54,6.99,4.52,-127.68,-5.10,3.50,25.25,-27.19,2361,168
"Verlander, Justin",434378,CU,-1.48,54.55,6.95,4.05,-117.63,-3.85,2.51,22.86,-39.69,2610,42
"Verlander, Justin",434378,FF,-1.46,54.46,7.03,7.24,-138.16,-10.36,-12.70,32.28,-9.52,2423,209
"Verlander, Justin",434378,CU,-1.54,54.61,6.91,3.11,-116.36,-4.27,6.48,25.05,-44.05,2885,38
"Verlander, Justin",434378,FF,-1.40,54.84,7.05,3.50,-138.98,-4.61,-8.97,34.95,-9.81,2461,205
"Verlander, Justin",434378,FF,-1.31,54.72,7.09,5.72,-136.88,-11.31,-13.84,33.29,-9.72,2444,209
"Verlander, Justin",434378,CU,-1.63,54.69,7.05,1.20,-112.82,-1.47,6.26,23.05,-43.70,2754,43
"Verlander, Justin",434378,FF,-1.23,54.62,7.10,5.81,-137.86,-8.61,-11.12,31.65,-12.48,2354,208
"Verlander, Justin",434378,SL,-1.74,54.42,6.82,3.80,-128.48,-7.48,2.39,25.52,-25.59,2333,163
"Verlander, Justin",434378,CU,-1.60,54.36,6.94,3.23,-115.92,-4.94,6.79,22.86,-37.51,2605,46
"Verlander, Justin",434378,CH,-1.78,54.60,6.85,3.24,-126.84,-6.50,-16.10,27.65,-20.18,1999,227
"Verlander, Justin",434378,CU,-1.53,54.42,6.86,2.63,-118.22,-3.61,3.88,24.82,-41.24,2713,43
"Verlander, Justin",434378,SL,-1.58,54.68,6.98,5.55,-130.03,-7.95,5.32,27.29,-25.45,2547,187
"Verlander, Justin",434378,CU,-1.56,54.59,6.91,0.06,-116.45,-1.86,7.34,24.48,-43.48,2760,41
"Verlander, Justin",434378,FF,-1.32,54.60,7.08,4.22,-138.18,-8.11,-13.12,34.45,-6.95,2457,207
"Verlander, Justin",434378,FF,-1.38,54.44,7.06,4.53,-136.99,-11.04,-14.82,32.03,-9.11,2442,208
"Verlander, Justin",434378,FF,-1.33,54.61,7.13,3.16,-136.17,-11.45,-12.67,32.36,-6.96,2453,210
"Verlander, Justin",434378,SL,-1.50,54.61,7.06,4.37,-129.02,-4.76,4.77,24.63,-29.22,2345,154
"Verlander, Justin",434378,CU,-1.84,54.31,7.00,2.88,-116.30,-0.67,6.83,23.80,-40.44,2664,47
"Verlander, Justin",434378,FF,-1.46,54.67,7.12,6.92,-140.87,-5.95,-9.02,34.46,-10.79,2439,206
"Verlander, Justin",434378,SL,-1.63,54.58,7.03,5.05,-130.30,-7.85,5.25,27.65,-27.61,2427,169
"Verlander, Justin",434378,SL,-1.58,54.54,7.01,5.79,-128.84,-5.82,5.27,25.54,-27.42,2481,167
"Verlander, Justin",434378,SL,-1.67,54.46,6.99,6.86,-121.71,-6.13,1.16,23.34,-36.82,2813,47
"Verlander, Justin",434378,SL,-1.69,54.46,6.97,7.00,-128.39,-9.72,3.12,26.81,-26.03,2373,169
"Verlander, Justin",434378,FF,-1.55,54.66,7.11,7.60,-138.50,-7.43,-8.76,31.87,-10.11,2372,208
"Verlander, Justin",434378,CU,-1.76,54.90,7.04,3.42,-116.33,-2.38,3.55,23.14,-41.73,2696,38
"Verlander, Justin",434378,CU,-1.84,54.57,6.99,6.87,-116.73,-4.48,2.23,23.06,-39.73,2581,39
