Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Woods Richardson, Simeon",680573,FF,-0.28,53.56,6.48,-0.43,-132.98,-9.53,2.58,26.88,-10.46,2292,175
"Woods Richardson, Simeon",680573,FF,-0.46,53.47,6.52,1.43,-133.59,-9.43,0.72,31.65,-8.81,2309,176
"Woods Richardson, Simeon",680573,FF,-0.19,53.68,6.65,-1.61,-131.82,-8.17,0.93,28.58,-12.04,2130,173
"Woods Richardson, Simeon",680573,SL,-0.39,53.75,6.55,1.15,-121.16,-10.96,4.89,23.75,-25.55,2208,152
"Woods Richardson, Simeon",680573,SL,-0.62,53.91,6.43,1.17,-122.71,-5.73,5.75,22.87,-25.62,2210,149
"Woods Richardson, Simeon",680573,FF,-0.08,53.51,6.41,-0.35,-132.16,-7.65,0.14,26.26,-14.34,2061,172
"Woods Richardson, Simeon",680573,FF,-0.07,53.73,6.59,0.86,-131.42,-9.30,3.39,26.77,-12.03,2017,177
"Woods Richardson, Simeon",680573,FF,-0.11,53.71,6.62,-0.81,-133.10,-3.35,3.25,29.97,-11.75,2010,167
"Woods Richardson, Simeon",680573,CU,-0.17,53.93,6.55,1.49,-108.65,4.08,-2.09,18.92,-43.37,2438,4
"Woods Richardson, Simeon",680573,CH,-0.56,54.06,6.52,0.98,-116.33,-3.44,-8.08,17.75,-21.75,1831,227
"Woods Richardson, Simeon",680573,FF,-0.36,53.88,6.65,0.93,-133.62,-3.03,2.98,28.48,-13.33,2110,171
"Woods Richardson, Simeon",680573,CU,-0.01,54.12,6.50,-1.60,-110.44,-2.53,0.99,18.56,-40.31,2486,0
"Woods Richardson, Simeon",680573,FF,-0.17,53.72,6.57,1.08,-131.57,-5.22,2.10,28.89,-14.82,1994,174
"Woods Richardson, Simeon",680573,FF,-0.23,53.82,6.64,-1.03,-130.17,-6.50,3.31,29.43,-11.98,2171,172
"Woods Richardson, Simeon",680573,FF,-0.41,53.63,6.61,-1.83,-132.40,-7.83,0.26,31.09,-9.68,2217,177
"Woods Richardson, Simeon",680573,FF,-0.08,53.58,6.51,-1.72,-131.00,-8.38,2.95,28.90,-11.83,2105,173
"Woods Richardson, Simeon",680573,FF,-0.21,53.39,6.47,-1.64,-131.79,-13.29,-0.68,29.53,-8.76,2105,170
"Woods Richardson, Simeon",680573,FF,-0.18,53.56,6.58,-4.19,-131.29,-8.93,1.92,29.86,-9.62,2132,177
"Woods Richardson, Simeon",680573,FF,-0.24,53.64,6.49,-1.62,-131.41,-7.29,-0.18,27.58,-12.55,2113,177
"Woods Richardson, Simeon",680573,CH,-0.44,53.68,6.33,6.09,-118.98,-6.44,-9.98,23.70,-16.32,2193,224
"Woods Richardson, Simeon",680573,SL,-0.47,53.65,6.46,-0.07,-124.42,-7.96,8.04,24.08,-22.14,2314,166
"Woods Richardson, Simeon",680573,FF,0.07,53.55,6.48,-0.77,-131.99,-10.68,1.65,28.34,-12.02,2067,172
"Woods Richardson, Simeon",680573,SL,-0.60,53.73,6.40,2.26,-123.49,-11.52,6.99,22.81,-23.79,2310,166
"Woods Richardson, Simeon",680573,SL,-0.42,53.91,6.49,0.40,-118.13,-0.48,2.73,16.97,-30.43,2158,108
"Woods Richardson, Simeon",680573,SL,-0.47,53.88,6.46,-0.74,-120.49,-0.22,4.45,21.86,-30.28,2212,115
"Woods Richardson, Simeon",680573,SL,-0.33,53.89,6.45,1.37,-120.82,0.39,5.11,22.14,-30.53,2125,133
"Woods Richardson, Simeon",680573,FF,0.16,53.72,6.55,-2.62,-132.91,-7.01,1.70,30.01,-9.35,2213,180
"Woods Richardson, Simeon",680573,FF,-0.10,53.44,6.55,-1.92,-134.36,-4.99,3.94,29.20,-13.26,2057,176
"Woods Richardson, Simeon",680573,CH,-0.44,53.61,6.41,2.51,-118.11,-4.31,-9.50,20.68,-19.28,2275,219
"Woods Richardson, Simeon",680573,FF,-0.19,53.58,6.50,-1.16,-133.69,-6.93,-1.46,29.25,-11.85,2034,178
"Woods Richardson, Simeon",680573,FF,-0.12,53.50,6.53,-0.28,-133.75,-10.39,2.31,30.94,-9.89,2100,184
"Woods Richardson, Simeon",680573,CH,-0.65,53.69,6.34,1.33,-117.36,-5.90,-11.60,22.13,-20.40,2130,230
"Woods Richardson, Simeon",680573,FF,-0.49,53.64,6.52,1.08,-133.52,-6.91,-2.40,27.61,-13.55,1999,181
"Woods Richardson, Simeon",680573,CH,-0.68,53.65,6.36,2.26,-115.23,-3.74,-8.82,20.51,-20.32,1906,224
"Woods Richardson, Simeon",680573,FF,-0.25,53.64,6.51,-0.60,-133.01,-3.08,3.97,24.63,-13.62,2158,167
"Woods Richardson, Simeon",680573,CU,-0.37,54.01,6.50,-1.33,-110.65,-2.19,2.86,20.64,-41.57,2441,7
"Woods Richardson, Simeon",680573,FF,-0.25,53.68,6.63,1.86,-132.86,-5.89,0.93,27.02,-11.70,2004,175
"Woods Richardson, Simeon",680573,FF,-0.32,53.88,6.45,-0.04,-132.66,-8.16,0.93,28.71,-11.49,2097,180
"Woods Richardson, Simeon",680573,FF,-0.35,53.68,6.56,-2.32,-132.15,-1.58,2.22,29.04,-13.64,2000,173
"Woods Richardson, Simeon",680573,FF,0.03,53.65,6.49,0.59,-131.43,-15.76,3.09,26.75,-7.53,2180,171
"Woods Richardson, Simeon",680573,FF,-0.47,53.91,6.59,-0.24,-132.08,-5.08,1.79,28.24,-10.10,2199,169
"Woods Richardson, Simeon",680573,CH,-0.61,53.59,6.45,3.38,-116.03,-8.15,-9.13,22.26,-16.16,2046,224
"Woods Richardson, Simeon",680573,FF,-0.29,54.16,6.69,-0.69,-129.90,-10.37,3.31,29.48,-8.90,2141,173
"Woods Richardson, Simeon",680573,FF,-0.44,53.83,6.64,2.36,-132.58,-7.27,0.27,29.37,-9.24,2185,175
