Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Ryan, Joe",657746,FF,-2.68,54.34,5.08,7.92,-135.79,-1.62,-10.57,27.62,-15.12,2176,217
"Ryan, Joe",657746,SL,-2.35,54.39,4.99,6.99,-118.39,-1.24,0.78,23.46,-30.55,2190,77
"Ryan, Joe",657746,SL,-2.57,54.43,5.13,5.06,-118.18,-1.52,5.57,25.72,-29.59,2232,63
"Ryan, Joe",657746,SL,-2.47,54.34,5.01,6.88,-117.00,-0.80,2.61,24.52,-30.81,2112,66
"Ryan, Joe",657746,FF,-2.52,54.02,4.96,9.20,-132.05,-0.93,-14.36,29.18,-21.17,2204,215
"Ryan, Joe",657746,CU,-2.48,54.47,5.29,6.25,-109.97,2.60,3.37,19.49,-36.04,2196,58
"Ryan, Joe",657746,CH,-2.46,53.99,5.02,9.03,-126.06,-1.36,-16.79,23.66,-28.15,1831,243
"Ryan, Joe",657746,CH,-2.60,54.07,4.92,12.21,-130.08,-5.37,-17.22,26.56,-26.37,2046,244
"Ryan, Joe",657746,FF,-2.59,54.18,5.01,9.38,-135.99,-1.96,-10.91,29.46,-17.05,2188,221
"Ryan, Joe",657746,FF,-2.60,53.99,4.90,7.73,-135.87,-2.37,-13.57,31.72,-15.44,2121,226
"Ryan, Joe",657746,FF,-2.62,54.15,4.90,8.14,-134.37,-2.62,-10.85,26.85,-14.80,2206,222
"Ryan, Joe",657746,CU,-2.54,54.09,5.14,2.52,-112.02,1.66,4.70,19.00,-37.45,2213,54
"Ryan, Joe",657746,SL,-2.42,54.37,5.01,4.26,-116.74,2.44,7.40,22.07,-30.66,2123,83
"Ryan, Joe",657746,FF,-2.50,54.27,5.04,8.15,-135.72,-1.43,-10.85,28.31,-15.57,2213,223
"Ryan, Joe",657746,SL,-2.60,54.47,5.09,4.03,-116.50,1.61,3.53,22.56,-28.61,2144,73
"Ryan, Joe",657746,SL,-2.50,54.42,5.08,10.89,-119.02,-2.08,5.50,24.96,-32.50,2165,53
"Ryan, Joe",657746,FF,-2.58,54.09,4.97,9.10,-133.23,-1.86,-11.63,27.66,-17.30,2251,220
"Ryan, Joe",657746,FF,-2.52,53.95,4.96,9.29,-135.25,-0.68,-10.10,29.17,-16.62,2288,215
"Ryan, Joe",657746,FF,-2.70,54.16,4.93,8.61,-136.26,-2.92,-11.48,29.10,-15.68,2236,220
"Ryan, Joe",657746,FF,-2.55,53.97,4.84,7.94,-137.42,-3.75,-12.23,28.65,-17.57,2231,225
"Ryan, Joe",657746,FF,-2.67,54.11,4.93,9.36,-135.50,-3.80,-11.50,28.05,-16.92,2399,213
"Ryan, Joe",657746,FF,-2.70,54.07,5.01,8.73,-134.48,-2.72,-10.06,27.61,-16.73,2384,217
"Ryan, Joe",657746,SL,-2.43,54.34,5.02,6.55,-118.34,-0.47,5.30,24.57,-27.18,2204,76
"Ryan, Joe",657746,SL,-2.45,54.48,5.02,6.14,-119.36,-1.93,2.92,22.86,-29.85,2072,60
"Ryan, Joe",657746,FF,-2.59,54.31,4.92,6.53,-134.56,-1.47,-10.85,26.28,-16.70,2228,223
"Ryan, Joe",657746,FF,-2.63,54.18,4.96,6.00,-133.21,-1.80,-11.12,29.52,-15.48,2298,221
"Ryan, Joe",657746,SL,-2.57,54.48,5.03,2.60,-116.18,0.87,4.87,23.59,-34.69,2126,67
"Ryan, Joe",657746,FF,-2.60,53.92,4.97,11.28,-131.76,-2.40,-13.98,28.16,-16.32,2268,221
"Ryan, Joe",657746,CH,-2.67,54.20,5.00,9.68,-125.07,-2.15,-16.97,24.65,-27.13,2027,244
"Ryan, Joe",657746,CH,-2.70,54.26,5.03,5.24,-125.82,0.51,-17.80,25.61,-27.60,1904,245
"Ryan, Joe",657746,SL,-2.67,54.61,5.01,7.42,-118.57,-1.24,3.45,23.04,-31.79,2088,67
"Ryan, Joe",657746,SL,-2.46,54.46,5.08,8.15,-119.49,-3.86,4.84,23.73,-30.64,2061,44
"Ryan, Joe",657746,FF,-2.63,54.07,4.91,9.95,-134.45,-3.75,-10.97,26.94,-15.81,2255,220
"Ryan, Joe",657746,FF,-2.53,54.14,4.94,9.35,-133.82,-1.97,-10.71,27.20,-15.37,2219,221
"Ryan, Joe",657746,CU,-2.56,54.59,5.28,2.36,-110.63,0.89,3.41,18.88,-36.11,2147,54
"Ryan, Joe",657746,FF,-2.73,54.34,4.96,8.63,-135.82,-1.90,-13.05,29.08,-16.39,2322,221
"Ryan, Joe",657746,CH,-2.67,54.41,5.08,7.60,-125.23,-0.54,-16.25,24.54,-25.07,1938,243
"Ryan, Joe",657746,CH,-2.69,54.35,5.05,6.71,-125.19,-2.46,-17.24,24.50,-26.45,2048,241
"Ryan, Joe",657746,FF,-2.69,54.26,5.01,8.02,-131.97,-2.36,-13.48,27.76,-16.48,2289,223
"Ryan, Joe",657746,FF,-2.53,53.97,4.98,9.19,-132.55,-2.77,-11.84,26.79,-17.67,2293,222
"Ryan, Joe",657746,FF,-2.56,54.32,4.97,6.95,-131.77,0.81,-11.59,26.07,-18.85,2232,218
"Ryan, Joe",657746,FF,-2.78,54.08,4.97,9.04,-132.26,-3.13,-12.30,28.33,-14.09,2290,218
"Ryan, Joe",657746,FF,-2.68,54.28,4.99,9.36,-130.42,-3.91,-12.56,29.36,-16.86,2301,219
"Ryan, Joe",657746,FF,-2.62,54.07,4.96,10.74,-131.90,-3.12,-11.81,29.53,-16.07,2272,214
"Ryan, Joe",657746,CU,-2.62,54.49,5.27,2.99,-105.45,2.82,4.90,19.33,-39.21,2282,52
"Ryan, Joe",657746,FF,-2.66,54.05,4.95,5.52,-132.44,-3.59,-12.28,29.76,-16.11,2295,228
