Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Astudillo, Willians",553902,FA,-1.69,55.31,5.75,4.01,-121.19,-4.11,-5.50,21.27,-16.14,1837,215
"Astudillo, Willians",553902,EP,-1.85,56.58,6.62,1.64,-60.06,7.55,0.61,7.85,-31.33,,
"Astudillo, Willians",553902,FA,-1.85,55.52,6.01,5.18,-115.13,-7.32,-3.68,19.51,-19.00,1752,208
"Astudillo, Willians",553902,EP,-1.74,56.45,6.87,2.10,-59.39,7.00,0.07,5.82,-29.77,966,200
"Astudillo, Willians",553902,EP,-1.75,54.13,6.42,3.96,-64.01,5.11,-0.54,6.76,-28.80,,
"Astudillo, Willians",553902,FA,-1.99,55.72,6.10,5.28,-97.35,-0.36,-3.79,14.93,-21.12,1659,206
"Astudillo, Willians",553902,EP,-2.09,56.06,6.53,4.37,-59.38,5.70,-0.14,5.19,-29.26,1059,196
"Astudillo, Willians",553902,EP,-1.88,56.05,6.34,3.49,-68.31,5.14,-1.37,6.77,-27.87,1165,202
"Astudillo, Willians",553902,EP,-1.76,56.11,6.42,3.36,-57.87,6.53,-0.68,4.91,-30.14,1009,202
"Astudillo, Willians",553902,EP,-1.77,55.10,5.90,1.08,-65.83,10.45,-0.25,6.65,-28.88,1050,198
"Astudillo, Willians",553902,EP,-2.07,56.15,6.66,3.69,-50.66,9.06,-0.14,3.92,-30.36,910,186
"Astudillo, Willians",553902,EP,-1.90,56.26,6.38,2.80,-59.46,7.08,-0.70,5.86,-29.31,995,210
"Astudillo, Willians",553902,EP,-2.24,56.06,6.37,4.23,-66.28,4.54,-1.06,6.62,-29.24,1100,205
"Astudillo, Willians",553902,EP,-1.63,55.88,6.24,0.99,-62.81,5.77,1.70,8.33,-32.81,,
"Astudillo, Willians",553902,FA,-1.72,55.95,6.18,4.41,-109.65,-3.51,-6.48,17.20,-20.69,1794,210
"Astudillo, Willians",553902,EP,-1.90,56.86,6.78,3.47,-55.87,8.80,-0.05,4.90,-30.24,1010,196
"Astudillo, Willians",553902,EP,-1.85,55.65,6.30,2.03,-67.00,6.09,-1.98,7.11,-28.64,1119,206
"Astudillo, Willians",553902,EP,-1.38,54.87,6.13,0.85,-62.90,8.00,-1.50,6.82,-29.02,891,208
"Astudillo, Willians",553902,FA,-1.83,55.37,6.24,2.98,-105.49,-3.22,-4.74,18.63,-19.30,1760,206
"Astudillo, Willians",553902,EP,-1.65,55.92,6.58,0.46,-60.45,8.94,-0.76,6.32,-28.43,1021,186
"Astudillo, Willians",553902,EP,-1.95,55.79,6.36,3.00,-66.56,5.29,-1.52,7.51,-28.00,1171,203
"Astudillo, Willians",553902,FA,-1.83,55.75,6.34,3.89,-85.90,0.07,-3.79,11.86,-24.20,1450,207
"Astudillo, Willians",553902,EP,-1.78,55.79,6.47,4.99,-74.59,1.95,-3.24,9.53,-25.89,1287,209
"Astudillo, Willians",553902,FA,-1.71,55.36,5.49,1.44,-107.35,0.46,4.24,19.81,-34.18,1988,71
"Astudillo, Willians",553902,FA,-1.20,55.65,5.98,4.67,-116.52,-1.98,-5.25,21.80,-20.99,1760,201
"Astudillo, Willians",553902,FA,-1.73,55.53,5.91,5.31,-117.01,-4.27,-4.32,21.60,-19.03,1778,195
"Astudillo, Willians",553902,FA,-1.81,55.14,5.71,4.63,-117.61,-2.30,-4.54,21.54,-20.92,1901,198
"Astudillo, Willians",553902,FA,-1.92,55.12,5.81,8.17,-106.60,-2.80,-1.57,16.57,-23.21,1710,182
"Astudillo, Willians",553902,FA,-1.36,55.22,5.78,6.46,-121.11,-1.72,-2.21,22.25,-20.60,1901,185
"Astudillo, Willians",553902,FA,-1.56,54.92,5.63,5.40,-119.34,-2.15,-5.45,20.98,-21.18,1777,202
"Astudillo, Willians",553902,FA,-1.70,54.94,5.84,5.88,-118.15,-3.37,-8.11,20.05,-18.30,1913,208
"Astudillo, Willians",553902,FA,-1.71,55.20,5.78,4.64,-115.73,-0.47,-4.12,18.57,-20.90,1772,196
"Astudillo, Willians",553902,FA,-1.50,55.23,5.64,3.46,-122.06,-0.51,-4.16,20.44,-18.03,1817,194
"Astudillo, Willians",553902,EP,-1.98,56.30,6.33,5.19,-89.03,-1.27,-3.68,9.98,-25.83,1418,206
"Astudillo, Willians",553902,FA,-1.45,55.13,5.63,2.77,-123.41,-2.73,-3.27,21.12,-18.90,1859,192
"Astudillo, Willians",553902,FA,-1.13,55.11,5.75,5.80,-119.38,-1.62,-1.80,19.54,-18.49,1820,184
"Astudillo, Willians",553902,FA,-1.24,54.72,5.69,7.67,-122.25,-3.59,-5.17,19.19,-20.79,1843,200
"Astudillo, Willians",553902,FA,-1.40,55.01,5.69,4.09,-120.63,-0.86,-7.18,20.09,-21.51,1844,211
"Astudillo, Willians",553902,FA,-1.21,54.94,5.64,5.39,-122.90,-0.67,-3.04,22.46,-17.24,1928,188
"Astudillo, Willians",553902,FA,-1.40,54.84,5.61,4.68,-124.42,-0.48,-9.81,25.28,-20.07,1885,216
"Astudillo, Willians",553902,FA,-1.17,54.99,5.84,2.56,-120.83,-2.30,-5.81,19.08,-20.44,1799,205
"Astudillo, Willians",553902,FA,-1.28,54.90,5.78,3.13,-122.37,0.07,-2.34,21.55,-18.40,1804,187
"Astudillo, Willians",553902,FA,-1.22,54.81,5.65,2.97,-124.19,2.71,-3.10,23.17,-18.53,1901,190
"Astudillo, Willians",553902,FA,-1.09,54.92,5.66,6.31,-123.53,-2.38,-6.99,23.68,-19.19,1846,204
"Astudillo, Willians",553902,FA,-1.25,54.95,5.61,5.98,-124.63,-0.95,-6.53,23.54,-19.38,1822,203
"Astudillo, Willians",553902,FA,-1.42,54.81,5.61,3.57,-124.34,-4.38,-6.64,21.46,-18.62,1856,205
"Astudillo, Willians",553902,FA,-1.70,54.98,5.54,3.26,-125.00,-1.74,-5.77,22.85,-18.36,1924,201
"Astudillo, Willians",553902,FA,-1.61,54.96,5.67,5.56,-122.94,-1.83,-4.91,23.73,-17.91,1867,195
"Astudillo, Willians",553902,FA,-1.65,54.92,5.55,2.28,-122.99,-2.95,-5.20,22.40,-18.03,1892,199
"Astudillo, Willians",553902,FA,-1.42,55.09,5.64,3.29,-122.88,-3.16,-5.07,21.69,-20.46,1894,201
"Astudillo, Willians",553902,FA,-1.41,54.72,5.45,3.55,-105.42,2.82,-3.57,15.62,-23.28,1578,198
"Astudillo, Willians",553902,FA,-1.62,54.91,5.58,1.24,-125.31,-0.75,-4.10,21.45,-17.11,1966,194
"Astudillo, Willians",553902,FA,-1.35,54.89,5.54,2.48,-125.29,-3.02,-4.62,20.67,-17.81,1831,197
"Astudillo, Willians",553902,FA,-1.60,55.20,5.61,0.43,-125.09,-2.08,-6.12,21.03,-19.19,1943,205
"Astudillo, Willians",553902,FA,-1.70,55.17,5.59,5.01,-124.93,-3.67,-6.67,22.75,-18.18,1939,203
"Astudillo, Willians",553902,FA,-1.72,55.25,5.39,4.33,-115.56,-0.89,2.56,25.95,-28.17,1989,140
"Astudillo, Willians",553902,FA,-1.38,55.01,5.53,4.58,-124.15,-3.00,-6.64,23.81,-13.86,1864,198
"Astudillo, Willians",553902,FA,-1.46,55.08,5.67,3.15,-125.34,-0.40,-10.70,24.20,-17.34,1950,214
