Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Diekman, Jake",518617,FF,3.05,54.24,5.76,-5.45,-138.46,-4.02,23.01,33.45,-18.47,2266,123
"Diekman, Jake",518617,SL,3.42,54.33,5.48,-5.16,-119.53,0.32,-8.30,21.74,-32.79,2905,300
"Diekman, Jake",518617,FF,3.08,54.21,5.67,-10.31,-138.27,-4.70,19.57,30.62,-16.58,2313,120
"Diekman, Jake",518617,FF,3.05,53.94,5.60,-13.56,-139.41,-7.30,22.83,28.48,-20.70,2261,121
"Diekman, Jake",518617,SI,3.24,54.25,5.59,-7.72,-139.36,-4.01,21.03,29.66,-22.02,2184,119
"Diekman, Jake",518617,FF,3.14,54.18,5.77,-11.26,-138.99,-4.34,20.23,29.53,-18.52,2300,120
"Diekman, Jake",518617,FF,3.08,54.33,5.66,-11.52,-139.51,-6.05,21.94,30.57,-18.48,2301,125
"Diekman, Jake",518617,FF,3.15,54.35,5.73,-13.71,-138.47,-6.59,22.82,29.57,-18.85,2287,125
"Diekman, Jake",518617,FF,3.15,54.06,5.63,-15.24,-136.80,-6.45,22.80,28.36,-21.63,2169,120
"Diekman, Jake",518617,FF,3.22,54.15,5.62,-10.85,-136.89,-5.35,21.09,28.63,-20.21,2162,124
"Diekman, Jake",518617,SL,3.25,54.16,5.54,-2.30,-118.35,-0.77,-12.86,21.81,-29.78,2850,297
"Diekman, Jake",518617,SL,3.19,54.35,5.54,-9.15,-119.36,-4.86,-7.30,23.04,-31.66,2866,286
"Diekman, Jake",518617,SL,3.09,54.16,5.60,-6.61,-117.91,-1.23,-7.07,23.41,-30.46,2813,306
"Diekman, Jake",518617,FF,3.06,54.17,5.66,-7.95,-135.98,-2.56,17.47,31.68,-21.30,2119,118
"Diekman, Jake",518617,SL,3.34,54.34,5.59,-5.28,-119.17,-3.60,-10.03,23.32,-31.82,2761,301
"Diekman, Jake",518617,SI,3.10,54.25,5.72,-10.80,-137.28,-3.46,20.47,27.39,-22.94,2200,124
"Diekman, Jake",518617,FF,3.15,54.33,5.73,-8.19,-138.59,-2.67,17.72,31.41,-19.61,2343,121
"Diekman, Jake",518617,SI,3.24,54.19,5.64,-13.17,-137.48,-4.14,19.95,27.75,-21.33,2347,119
"Diekman, Jake",518617,FF,3.23,54.22,5.63,-10.40,-138.54,-5.04,19.49,30.18,-18.31,2315,121
"Diekman, Jake",518617,FF,3.20,54.36,5.75,-10.26,-139.55,-4.25,20.04,30.53,-17.33,2319,127
"Diekman, Jake",518617,CH,3.17,54.22,5.58,-9.53,-124.81,-5.53,12.13,24.07,-28.88,1461,111
"Diekman, Jake",518617,SI,3.12,54.21,5.67,-7.14,-137.86,-2.17,19.38,30.35,-22.56,2224,121
"Diekman, Jake",518617,FF,2.99,54.06,5.74,-9.71,-136.34,-4.09,20.15,30.09,-18.86,2363,120
"Diekman, Jake",518617,FF,3.12,54.28,5.77,-8.82,-137.89,-4.24,23.40,34.57,-21.34,2327,121
"Diekman, Jake",518617,SI,3.12,54.34,5.74,-11.01,-135.98,-3.55,20.26,29.17,-21.80,2088,123
"Diekman, Jake",518617,FF,3.27,54.02,5.67,-12.09,-136.13,-5.58,22.12,30.69,-20.12,2126,123
"Diekman, Jake",518617,FF,3.05,54.11,5.66,-10.55,-134.83,-5.94,19.72,31.34,-19.12,2133,123
"Diekman, Jake",518617,SI,3.20,54.15,5.68,-9.04,-136.09,-3.00,21.83,26.16,-22.05,2234,123
"Diekman, Jake",518617,FF,3.19,54.23,5.65,-11.25,-136.30,-4.21,23.00,27.64,-18.67,2199,122
"Diekman, Jake",518617,SL,3.35,54.41,5.58,-5.52,-118.75,-4.35,-9.76,20.91,-30.25,2856,312
"Diekman, Jake",518617,SL,3.39,54.38,5.62,-8.38,-116.37,-4.29,-10.96,21.41,-30.41,2883,304
"Diekman, Jake",518617,FF,2.93,53.93,5.60,-14.92,-134.66,-6.23,18.98,26.55,-20.55,2318,117
"Diekman, Jake",518617,FF,3.08,54.10,5.62,-13.86,-138.08,-7.23,21.13,27.29,-19.86,2336,120
"Diekman, Jake",518617,FF,3.14,54.31,5.55,-10.41,-135.40,-4.98,20.14,26.22,-21.02,2247,119
