Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Ober, Bailey",641927,FF,-1.72,53.20,5.88,7.71,-135.06,-3.18,-10.50,29.64,-14.07,2419,208
"Ober, Bailey",641927,FF,-1.97,53.51,5.81,2.41,-133.82,0.34,-10.00,29.07,-16.06,2276,211
"Ober, Bailey",641927,FF,-1.71,53.51,5.91,7.25,-135.53,-3.81,-8.92,29.16,-13.61,2358,209
"Ober, Bailey",641927,FF,-1.74,53.42,5.88,5.99,-134.55,-3.61,-8.36,27.55,-13.49,2287,211
"Ober, Bailey",641927,CH,-1.90,53.49,5.86,6.13,-123.91,-2.34,-16.15,24.21,-24.85,1774,250
"Ober, Bailey",641927,FF,-1.77,53.52,5.84,7.23,-134.62,-3.13,-8.62,28.37,-14.66,2424,208
"Ober, Bailey",641927,FF,-1.79,53.34,5.84,6.30,-134.60,-5.20,-9.66,27.36,-14.83,2439,213
"Ober, Bailey",641927,CH,-1.98,53.71,5.82,4.77,-122.81,-2.46,-14.86,23.70,-25.63,1858,255
"Ober, Bailey",641927,CU,-1.61,53.51,5.98,4.23,-114.94,-4.76,7.32,22.74,-35.80,2241,40
"Ober, Bailey",641927,FF,-1.91,53.63,5.71,2.72,-132.36,-2.11,-9.02,29.01,-15.14,2382,213
"Ober, Bailey",641927,CU,-1.65,53.66,5.94,1.29,-111.90,-0.60,7.43,22.86,-40.63,2266,53
"Ober, Bailey",641927,CU,-1.77,53.64,5.99,3.23,-111.12,-0.92,7.24,20.76,-38.41,2289,48
"Ober, Bailey",641927,SL,-1.87,53.60,5.89,4.00,-119.90,-2.39,2.85,20.51,-28.68,2141,89
"Ober, Bailey",641927,FF,-2.04,53.58,5.81,6.90,-134.18,-4.74,-10.33,29.27,-13.16,2285,217
"Ober, Bailey",641927,SL,-1.90,53.33,5.79,5.54,-121.47,-2.30,3.62,22.91,-31.97,2144,114
"Ober, Bailey",641927,FF,-1.83,53.53,5.91,5.18,-135.71,-3.40,-9.33,30.78,-14.62,2426,216
"Ober, Bailey",641927,FF,-1.75,53.47,5.85,5.49,-134.26,-3.09,-7.91,29.63,-13.71,2398,211
"Ober, Bailey",641927,FF,-1.79,53.63,5.83,6.44,-134.63,-5.37,-10.80,29.14,-14.05,2311,218
"Ober, Bailey",641927,SL,-1.80,53.55,5.74,5.57,-123.33,-2.68,3.26,22.61,-27.52,2234,142
"Ober, Bailey",641927,FF,-1.84,53.24,5.75,6.99,-133.19,-6.87,-9.82,29.04,-13.22,2361,217
"Ober, Bailey",641927,FF,-1.71,53.38,5.85,6.57,-133.82,-2.16,-9.28,29.51,-14.58,2368,214
"Ober, Bailey",641927,FF,-1.98,53.54,5.75,5.20,-133.95,-1.80,-10.53,31.29,-14.94,2327,217
"Ober, Bailey",641927,FF,-1.84,53.57,5.78,6.84,-134.08,-6.22,-9.79,28.78,-11.49,2341,216
"Ober, Bailey",641927,FF,-1.94,53.70,5.78,3.82,-132.89,-0.70,-9.92,28.60,-14.30,2271,214
"Ober, Bailey",641927,CU,-1.74,53.59,5.87,5.79,-113.52,-1.65,6.32,21.31,-34.40,2239,52
