Pitcher,ID,Pitch Type,xP0,yP0,zP0,xV0,yV0,zV0,xA0,yA0,zA0,Spin Rate,Spin Direction
"Hill, Rich",448179,FC,1.61,54.34,5.76,-2.01,-122.41,0.66,-7.67,24.80,-23.62,2368,186
"Hill, Rich",448179,FF,1.46,54.30,5.93,-5.72,-128.26,-2.34,5.96,26.78,-13.64,2243,144
"Hill, Rich",448179,SL,2.36,54.50,4.16,-2.25,-102.73,4.22,-11.26,19.19,-32.15,2611,276
"Hill, Rich",448179,CU,1.38,54.13,5.68,-1.93,-104.31,-3.62,-10.42,23.11,-41.08,2587,323
"Hill, Rich",448179,FC,1.67,54.39,5.67,-1.92,-122.21,-1.80,-4.68,23.23,-27.29,2272,169
"Hill, Rich",448179,FC,1.58,54.40,5.64,-1.83,-121.73,-0.16,-2.02,22.46,-26.10,2148,174
"Hill, Rich",448179,CU,1.46,54.42,5.81,-0.99,-104.60,5.74,-9.33,19.97,-42.37,2575,314
"Hill, Rich",448179,FF,1.34,54.29,5.90,-6.77,-128.30,-5.59,6.94,29.27,-11.40,2110,140
"Hill, Rich",448179,FF,1.42,53.93,5.77,-8.23,-129.29,-6.27,9.81,28.54,-13.14,2276,142
"Hill, Rich",448179,CU,1.37,54.47,5.82,-3.06,-106.77,-0.44,-12.64,24.03,-42.98,2685,318
"Hill, Rich",448179,FF,1.43,54.21,5.89,-4.48,-128.86,-3.24,5.32,29.03,-12.83,2251,152
"Hill, Rich",448179,FF,1.59,54.31,5.90,-5.29,-129.18,-4.31,8.43,28.74,-13.01,2253,138
"Hill, Rich",448179,CU,1.38,54.53,5.82,0.60,-105.21,1.17,-8.96,23.89,-42.66,2456,320
"Hill, Rich",448179,CU,1.44,54.51,5.89,-1.31,-102.78,2.96,-8.19,21.20,-41.72,2414,312
"Hill, Rich",448179,CH,2.48,53.82,4.13,-9.78,-123.90,3.56,17.67,25.02,-34.82,2196,105
"Hill, Rich",448179,FF,1.55,54.18,5.81,-6.46,-130.79,-8.17,9.37,29.00,-10.52,2301,147
"Hill, Rich",448179,CU,1.55,54.23,5.72,-1.68,-106.38,2.15,-10.43,24.47,-42.00,2774,318
"Hill, Rich",448179,FF,1.48,54.35,5.79,-6.16,-129.28,-6.36,7.74,30.53,-11.45,2200,146
"Hill, Rich",448179,FC,1.70,54.42,5.66,-2.36,-120.51,-2.65,-3.63,25.50,-24.89,2406,189
"Hill, Rich",448179,CU,1.58,54.56,5.67,0.48,-106.20,3.73,-11.33,22.35,-42.06,2720,314
"Hill, Rich",448179,SL,2.48,54.58,4.15,1.44,-102.50,5.87,-13.85,19.08,-33.84,2574,276
"Hill, Rich",448179,FF,1.37,54.17,5.93,-3.19,-129.98,-1.23,8.49,28.31,-12.58,2296,143
"Hill, Rich",448179,FC,1.73,54.39,5.67,-3.57,-122.70,-0.32,-0.72,23.36,-24.94,2345,168
"Hill, Rich",448179,CU,1.50,54.56,5.75,-2.07,-105.81,0.30,-10.36,23.74,-42.70,2688,319
"Hill, Rich",448179,FF,1.51,54.23,5.85,-4.45,-130.27,-5.26,8.31,30.42,-13.67,2237,149
"Hill, Rich",448179,FC,1.78,54.46,5.65,-3.87,-120.92,-1.84,-3.40,22.64,-25.93,2291,180
"Hill, Rich",448179,FC,1.79,54.47,5.71,-3.55,-124.03,-2.40,5.10,25.83,-24.73,2234,163
"Hill, Rich",448179,FF,1.48,54.45,6.03,-5.63,-129.32,-2.85,9.60,24.60,-16.21,2165,149
"Hill, Rich",448179,CU,1.41,54.19,5.62,-2.85,-108.19,-0.59,-9.99,21.54,-40.05,2739,315
"Hill, Rich",448179,FF,1.46,54.15,5.74,-4.39,-132.11,-5.28,11.56,30.39,-13.25,2342,142
"Hill, Rich",448179,FF,1.40,54.14,5.77,-6.65,-130.69,-4.24,10.35,28.87,-15.32,2268,150
"Hill, Rich",448179,CU,1.51,54.05,5.63,-0.88,-104.47,2.29,-9.72,21.69,-41.79,2717,313
"Hill, Rich",448179,FF,1.48,54.22,5.79,-4.83,-130.54,-2.70,9.12,27.99,-12.67,2278,142
"Hill, Rich",448179,CU,1.37,54.26,5.72,-0.41,-105.28,3.04,-10.18,20.62,-41.42,2622,310
"Hill, Rich",448179,CU,1.58,54.30,5.68,-0.27,-105.65,2.21,-10.19,20.90,-41.61,2579,313
"Hill, Rich",448179,FF,1.45,54.38,5.85,-5.72,-129.04,-2.64,5.12,25.95,-14.35,2219,149
"Hill, Rich",448179,FC,1.77,54.42,5.62,-3.46,-123.32,-1.82,-1.26,21.96,-25.21,2318,154
"Hill, Rich",448179,FF,1.34,54.38,5.86,-4.85,-129.45,-2.68,9.27,27.81,-13.26,2193,142
"Hill, Rich",448179,FF,1.43,54.36,5.94,-3.55,-130.07,-1.69,8.00,28.05,-12.35,2198,145
"Hill, Rich",448179,CH,2.57,54.30,4.05,-10.55,-123.11,2.65,17.96,24.54,-33.03,2198,106
"Hill, Rich",448179,SL,2.55,54.59,3.66,0.22,-101.87,6.79,-12.15,17.79,-30.75,2516,263
"Hill, Rich",448179,CU,1.56,54.32,5.66,-0.50,-106.96,2.75,-10.64,22.20,-41.08,2687,313
"Hill, Rich",448179,FF,1.39,54.11,5.82,-8.71,-130.58,-4.42,9.21,28.26,-12.80,2330,147
"Hill, Rich",448179,FC,1.73,54.31,5.56,-3.95,-125.12,-4.48,1.61,24.23,-23.55,2378,137
"Hill, Rich",448179,FC,1.67,54.14,5.53,-6.99,-126.28,-6.77,-0.03,22.60,-21.04,2437,157
"Hill, Rich",448179,CU,1.48,54.17,5.74,0.95,-105.65,4.88,-9.91,20.69,-42.12,2722,315
"Hill, Rich",448179,CU,1.62,54.39,5.65,-0.61,-105.65,4.33,-11.34,19.81,-41.41,2684,317
"Hill, Rich",448179,CH,1.81,54.14,5.49,-9.97,-122.70,-5.46,16.46,23.95,-22.66,1973,38
"Hill, Rich",448179,FF,1.44,54.12,5.81,-4.60,-129.92,-4.93,8.17,27.57,-13.30,2398,147
"Hill, Rich",448179,SL,2.33,54.57,4.07,-0.84,-103.22,5.47,-12.60,20.76,-33.05,2596,271
"Hill, Rich",448179,FF,1.32,54.25,5.84,-6.85,-129.80,-5.07,9.64,28.85,-12.61,2275,145
"Hill, Rich",448179,FC,1.85,54.45,5.55,-0.59,-125.47,-3.09,0.38,24.95,-20.85,2264,158
